unit:id:admin	unit:name	unit:classification	unit:relation_type	unit:related_unit_id:admin	unit:related_unit	unit:related_unit_class	unit:related_unit_first_cited_date	unit:related_unit_first_cited_date_start	unit:related_unit_last_cited_date	unit:related_unit_open
e0136bd7-1628-4073-a812-c237106ae774	Brigade Territoriale (Bamako-coura)	Gendarmerie;Military	child	fa0acf48-67e8-49a2-9a21-23c982dd7c31	Compagnie Territoriale (Bamako Rive Gauche)	Command	2017-10-09	N	2020-03-19	Y
c40eb67a-b0df-416c-9462-f90227c88abe	Brigade Territoriale (Banamba)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2017-08-08	N	2019-01-19	Y
e6bee526-aa42-4e2f-93d4-b2ecde3669f4	Brigade Territoriale (Banankabougou)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2018-11-07	N	2019-01-19	Y
9aad9254-6da5-48a4-9ae1-93a49f42c67b	Brigade Territoriale (Bandiagara)	Gendarmerie;Military	child	5553eda1-d1c6-465b-af46-7f6f4738f5dd	Compagnie Territoriale (Bandiagara)	Command	2017-10-09	N		Y
49ed4156-9b54-4ef2-9567-e003c50dd83b	Brigade Territoriale (Bankass)	Gendarmerie;Military	child	5553eda1-d1c6-465b-af46-7f6f4738f5dd	Compagnie Territoriale (Bandiagara)	Command	2017-10-09	N		Y
1a00a746-cf44-4e94-9cb7-7e4b28239f75	Brigade Territoriale (Baraouéli)	Gendarmerie;Military	child	31b0f888-cece-40ac-85c8-96974ba28c64	Compagnie Territoriale (Ségou)	Command	2017-10-09	N		Y
1cabbfd6-f53a-4eff-846f-dc0c6986e32b	Brigade Territoriale (Barouéli)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	1997	N	2019-01-19	Y
c8a99a2a-27c3-4bfd-9e48-132fe75c426a	Brigade Territoriale (Bla)	Gendarmerie;Military	child	31b0f888-cece-40ac-85c8-96974ba28c64	Compagnie Territoriale (Ségou)	Command	2017-10-09	N		Y
f26633f6-06f1-439a-936b-ef0e1752da05	Brigade Territoriale (Boni)	Gendarmerie;Military	child	057dc644-3923-48e1-b8aa-afe7d98b2a68	Compagnie Territoriale (Douentza)	Command	2017-10-09	N		Y
7d4d195e-31b8-419c-ade6-a77204f3b82f	Brigade Territoriale (Bougouni)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2016-06-13	N	2019-01-19	Y
c1f92d41-21f1-4e25-9bfc-70e53dd2faf6	Brigade Territoriale (Cinzana Gare)	Gendarmerie;Military	child	31b0f888-cece-40ac-85c8-96974ba28c64	Compagnie Territoriale (Ségou)	Command	2017-10-09	N		Y
f1977b40-601f-4edf-a130-8efcec33e59d	Brigade Territoriale (Diabaly)	Gendarmerie;Military	child	d0a76aa7-1c8b-43ad-8d3e-cab1784e3364	Compagnie Territoriale (Niono)	Command	2017-10-09	N		Y
b6ca07c9-a421-481f-8142-112509fc96ce	Brigade Territoriale (Dialakorodji)	Gendarmerie;Military	child	fa0acf48-67e8-49a2-9a21-23c982dd7c31	Compagnie Territoriale (Bamako Rive Gauche)	Command	2017-10-09	N		Y
3d5926bc-388a-4db8-8d9a-8459ef3fb9b9	Brigade Territoriale (Diallassagou)	Gendarmerie;Military	child	5553eda1-d1c6-465b-af46-7f6f4738f5dd	Compagnie Territoriale (Bandiagara)	Command	2017-10-09	N		Y
59a15ad4-d526-4849-96b1-5511240ea087	Brigade Territoriale (Diankabou)	Gendarmerie;Military	child	9ba38934-e36c-4808-819b-8a27e0802025	Compagnie Territoriale (Koro)	Command	2017-10-09	Y		Y
1c2af210-7e81-4564-8657-d8c7fa0405bc	Brigade Territoriale (Diema)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2015-04-30	N	2020-02-10	Y
